[2026-06-27T11:49:41.960Z] GET http://localhost:4178/ai-workbench.html?role=invest → 200 (6ms, 30829B)
[2026-06-27T11:49:41.973Z] GET http://localhost:4178/assets/css/theme.css → 200 (23ms, 27802B)
[2026-06-27T11:49:41.974Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (236ms, 6063B)
[2026-06-27T11:49:41.974Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → pending (?ms, ?B)
[2026-06-27T11:49:41.974Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (26ms, 340606B)
[2026-06-27T11:49:41.985Z] GET http://localhost:4178/assets/js/data.js → 200 (14ms, 47293B)
[2026-06-27T11:49:41.985Z] GET http://localhost:4178/assets/js/charts.js → 200 (13ms, 15865B)
[2026-06-27T11:49:41.985Z] GET http://localhost:4178/assets/js/components.js → 200 (20ms, 13597B)
[2026-06-27T11:49:41.988Z] GET http://localhost:4178/assets/js/shell.js → 200 (17ms, 17726B)
[2026-06-27T11:49:43.088Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (561ms, 21412B)
[2026-06-27T11:49:55.710Z] GET http://localhost:4178/ai-workbench.html → 200 (4ms, ?B)
[2026-06-27T11:49:55.725Z] GET http://localhost:4178/assets/css/theme.css → pending (?ms, ?B)
[2026-06-27T11:49:55.725Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, ?B)
[2026-06-27T11:49:55.727Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → pending (?ms, ?B)
[2026-06-27T11:49:55.731Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (47ms, 340606B)
[2026-06-27T11:49:55.731Z] GET http://localhost:4178/assets/js/data.js → 200 (46ms, 47293B)
[2026-06-27T11:49:55.731Z] GET http://localhost:4178/assets/js/charts.js → 200 (47ms, 15865B)
[2026-06-27T11:49:55.731Z] GET http://localhost:4178/assets/js/components.js → 200 (48ms, 13597B)
[2026-06-27T11:49:55.732Z] GET http://localhost:4178/assets/js/shell.js → 200 (47ms, 17726B)
[2026-06-27T11:49:55.828Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:49:55.979Z] GET http://localhost:4178/ai-workbench.html?role=tech → 200 (1ms, 30829B)
[2026-06-27T11:49:55.986Z] GET http://localhost:4178/assets/css/theme.css → 200 (7ms, 27802B)
[2026-06-27T11:49:55.986Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:49:55.987Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (4ms, 1029203B)
[2026-06-27T11:49:55.992Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (3ms, 340606B)
[2026-06-27T11:49:55.992Z] GET http://localhost:4178/assets/js/data.js → 200 (2ms, 47293B)
[2026-06-27T11:49:55.992Z] GET http://localhost:4178/assets/js/charts.js → 200 (2ms, 15865B)
[2026-06-27T11:49:55.992Z] GET http://localhost:4178/assets/js/components.js → 200 (2ms, 13597B)
[2026-06-27T11:49:55.993Z] GET http://localhost:4178/assets/js/shell.js → 200 (5ms, 17726B)
[2026-06-27T11:49:56.012Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:49:56.455Z] GET http://localhost:4178/ai-workbench.html?role=zzz → 200 (1ms, 30829B)
[2026-06-27T11:49:56.460Z] GET http://localhost:4178/assets/css/theme.css → 200 (9ms, 27802B)
[2026-06-27T11:49:56.460Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:49:56.465Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T11:49:56.466Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (3ms, 340606B)
[2026-06-27T11:49:56.466Z] GET http://localhost:4178/assets/js/data.js → 200 (4ms, 47293B)
[2026-06-27T11:49:56.466Z] GET http://localhost:4178/assets/js/charts.js → 200 (4ms, 15865B)
[2026-06-27T11:49:56.467Z] GET http://localhost:4178/assets/js/components.js → 200 (7ms, 13597B)
[2026-06-27T11:49:56.467Z] GET http://localhost:4178/assets/js/shell.js → 200 (7ms, 17726B)
[2026-06-27T11:49:56.508Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:50:09.457Z] GET http://localhost:4178/ai-workbench.html?role=research → 200 (49ms, 30829B)
[2026-06-27T11:50:09.515Z] GET http://localhost:4178/assets/css/theme.css → 200 (15ms, 27802B)
[2026-06-27T11:50:09.518Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (1ms, 6063B)
[2026-06-27T11:50:09.528Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T11:50:09.528Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (4ms, 340606B)
[2026-06-27T11:50:09.528Z] GET http://localhost:4178/assets/js/data.js → 200 (3ms, 47293B)
[2026-06-27T11:50:09.528Z] GET http://localhost:4178/assets/js/charts.js → 200 (5ms, 15865B)
[2026-06-27T11:50:09.529Z] GET http://localhost:4178/assets/js/components.js → 200 (10ms, 13597B)
[2026-06-27T11:50:09.530Z] GET http://localhost:4178/assets/js/shell.js → 200 (9ms, 17726B)
[2026-06-27T11:50:09.539Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:50:22.337Z] GET http://localhost:4178/ai-workbench.html?role=research → 200 (8ms, 30829B)
[2026-06-27T11:50:22.347Z] GET http://localhost:4178/assets/css/theme.css → 200 (17ms, 27802B)
[2026-06-27T11:50:22.347Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:50:22.348Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (10ms, 1029203B)
[2026-06-27T11:50:22.358Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (15ms, 340606B)
[2026-06-27T11:50:22.358Z] GET http://localhost:4178/assets/js/data.js → 200 (15ms, 47293B)
[2026-06-27T11:50:22.359Z] GET http://localhost:4178/assets/js/charts.js → 200 (5ms, 15865B)
[2026-06-27T11:50:22.359Z] GET http://localhost:4178/assets/js/components.js → 200 (14ms, 13597B)
[2026-06-27T11:50:22.360Z] GET http://localhost:4178/assets/js/shell.js → 200 (15ms, 17726B)
[2026-06-27T11:50:22.384Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:00.885Z] GET http://localhost:4178/enterprise-library.html → 200 (19ms, 18022B)
[2026-06-27T11:58:00.940Z] GET http://localhost:4178/assets/css/theme.css → 200 (3ms, 27802B)
[2026-06-27T11:58:00.940Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (2ms, 6063B)
[2026-06-27T11:58:00.942Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T11:58:00.943Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (1ms, 340606B)
[2026-06-27T11:58:00.943Z] GET http://localhost:4178/assets/js/data.js → 200 (1ms, 47293B)
[2026-06-27T11:58:00.943Z] GET http://localhost:4178/assets/js/charts.js → 200 (?ms, 15865B)
[2026-06-27T11:58:00.943Z] GET http://localhost:4178/assets/js/components.js → 200 (1ms, 13597B)
[2026-06-27T11:58:00.943Z] GET http://localhost:4178/assets/js/shell.js → 200 (29ms, 17726B)
[2026-06-27T11:58:01.060Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:09.565Z] GET http://localhost:4178/enterprise-detail.html → 200 (3ms, 32027B)
[2026-06-27T11:58:09.571Z] GET http://localhost:4178/assets/css/theme.css → 200 (3ms, 27802B)
[2026-06-27T11:58:09.572Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:58:09.572Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T11:58:09.573Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (11ms, 340606B)
[2026-06-27T11:58:09.573Z] GET http://localhost:4178/assets/js/data.js → 200 (10ms, 47293B)
[2026-06-27T11:58:09.573Z] GET http://localhost:4178/assets/js/charts.js → 200 (11ms, 15865B)
[2026-06-27T11:58:09.573Z] GET http://localhost:4178/assets/js/components.js → 200 (11ms, 13597B)
[2026-06-27T11:58:09.573Z] GET http://localhost:4178/assets/js/shell.js → 200 (11ms, 17726B)
[2026-06-27T11:58:09.611Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:22.371Z] GET http://localhost:4178/enterprise-detail.html?id=ENT-001 → 200 (3ms, 32027B)
[2026-06-27T11:58:22.377Z] GET http://localhost:4178/assets/css/theme.css → 200 (8ms, 27802B)
[2026-06-27T11:58:22.378Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:58:22.378Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T11:58:22.379Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (10ms, 340606B)
[2026-06-27T11:58:22.379Z] GET http://localhost:4178/assets/js/data.js → 200 (11ms, 47293B)
[2026-06-27T11:58:22.381Z] GET http://localhost:4178/assets/js/charts.js → 200 (9ms, 15865B)
[2026-06-27T11:58:22.383Z] GET http://localhost:4178/assets/js/components.js → 200 (26ms, 13597B)
[2026-06-27T11:58:22.384Z] GET http://localhost:4178/assets/js/shell.js → 200 (27ms, 17726B)
[2026-06-27T11:58:22.439Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
